,freq,term,label
0,3,2n_o,o
1,10,access_patterns,o
2,5,adaptive_mesh_refinement,o
3,4,additional_data,o
4,4,additional_space,o
5,3,additional_time,o
6,4,affinity_matrix,o
7,4,agent-based_model,data_structures
8,34,algebra,o
9,5,algorithmic_solution,o
10,42,algorithms,algorithm_design
11,10,algorithms_and_data_structures,data_structures
12,4,allocator,o
13,7,alphabet,o
14,3,ancestor,o
15,6,apache_storm,o
16,79,applicability,o
17,5,associated_data,data_structures
18,3,associativity,o
19,96,attribute,o
20,7,average_accuracy,o
21,33,avoids,o
22,3,base_case,algorithm_design
23,17,based_approach,o
24,3,basic_data_structures,data_structures
25,3,belle_ii_experiment,o
26,91,benchmark,o
27,10,benchmark_suite,o
28,5,benchmark_tests,o
29,19,billions,o
30,51,binary,o
31,4,binary_decision_diagram,data_structures
32,9,binary_search_tree,data_structures
33,3,bins,o
34,3,bioinformatics_pipeline,o
35,7,biological_data,o
36,5,biologists,o
37,16,bloom,o
38,14,bloom_filter,data_structures
39,5,boundary_layer,o
40,6,brightness,computer_graphics
41,3,broad_spectrum,o
42,3,bucket,o
43,4,burrows-wheeler,data_structures
44,3,cache_replacement_policy,operating_systems
45,10,calculus,o
46,70,call,o
47,4,cardinality,o
48,6,cluster_center,machine_learning
49,3,code_portability,software_engineering
50,12,coloring,o
51,3,commerce,o
52,3,common_data_structure,data_structures
53,16,community_detection,o
54,5,compact,o
55,219,compare,o
56,8,complete_set,o
57,259,complex,o
58,7,complex_data_structure,data_structures
59,5,complex_event_processing,o
60,11,complex_networks,data_structures
61,5,complex_queries,data_structures
62,4,complexity_results,data_structures
63,7,compressed_data_structures,data_structures
64,6,compression_ratio,o
65,9,computational_efficiency,algorithm_design
66,4,computational_effort,o
67,6,computational_fluid_dynamics,computer_graphics
68,14,computational_performance,o
69,12,compute_unified_device_architecture,distributed_computing
70,8,computer_cluster,o
71,34,computes,o
72,26,computing_nodes,distributed_computing
73,3,configuration_parameters,software_engineering
74,6,conjugate,o
75,18,connected_component,o
76,4,connectivity_information,o
77,4,constant_epsilon,o
78,7,constant_time,o
79,201,construct,o
80,16,contention,o
81,4,contingency_screening,o
82,3,controlled_environment,data_structures
83,8,conventional_approach,o
84,7,conventional_database,data_structures
85,3,conversion,o
86,18,convex,o
87,32,coordinate,o
88,4,core_set,data_structures
89,6,corresponding_data,o
90,23,corresponds,o
91,3,corrosion,o
92,5,cpu_implementation,software_engineering
93,5,crash,o
94,9,critical_path,o
95,3,cuckoo,o
96,10,current_method,o
97,5,current_version,o
98,3,cypher,cryptography
99,6,data_access_pattern,data_structures
100,17,data_block,data_structures
101,7,data_cube,data_structures
102,7,data_element,data_structures
103,6,data_layout,data_structures
104,30,data_models,data_structures
105,7,data_parallelism,distributed_computing
106,5,data_partitioning,data_structures
107,23,data_points,data_structures
108,7,data_retrieval,data_structures
109,17,data_stream,data_structures
110,369,data_structure,data_structures
111,223,data_structures,data_structures
112,21,data_type,o
113,6,database_operations,data_structures
114,5,datastore,o
115,10,decomposes,o
116,139,define,o
117,9,deletion,o
118,26,delta,o
119,8,derivative,o
120,15,design_space,o
121,17,differs,o
122,5,digit,o
123,3,direct_access,o
124,71,discover,o
125,4,distributed_data_structures,data_structures
126,7,distributed_database,data_structures
127,4,diverse_fields,o
128,38,document,o
129,3,dragon,o
130,11,dual,o
131,4,duality,o
132,10,dynamic,o
133,14,dynamic_data,data_structures
134,8,dynamic_programming_algorithm,computer_programming
135,8,earlier_work,o
136,48,efficacy,o
137,4,efficiency,o
138,43,efficient_algorithm,o
139,19,efficient_data_structure,data_structures
140,4,efficient_mechanism,o
141,6,efficient_processing,o
142,8,efficient_storage,data_structures
