,Unnamed: 0,freq,term,label
0,0,8,aaron_copland,musicians
1,1,13,aashish_khan,musicians
2,2,5,abrams,n
3,3,18,accompanist,musicians
4,4,12,accordionist,musicians
5,5,256,ache,n
6,6,6,acoustic_and_electric_guitar,instruments
7,7,5,acoustic_guitar,instruments
8,8,16,acquaintance,n
9,9,6,acropolis,n
10,10,15,active_member,n
11,11,220,adam,n
12,12,5,adam_wiltzie,musicians
13,13,29,adams,n
14,14,5,additional_lyrics,n
15,15,6,additional_music,n
16,16,6,adult_life,n
17,17,5,advancement,n
18,18,5,advisor,n
19,19,16,aerosmith,musicians
20,20,9,aids,n
21,21,5,al_hirt,musicians
22,22,11,al_jardine,musicians
23,23,5,al_jarreau,musicians
24,24,5,al_kooper,musicians
25,25,10,al_stewart,musicians
26,26,27,alabama,n
27,27,15,alan_lomax,musicians
28,28,13,albany,n
29,29,16,albert,n
30,30,9,albert_ammons,musicians
31,31,25,albert_collins,musicians
32,32,6,albert_king,musicians
33,33,6,albrecht,n
34,34,79,alex,n
35,35,6,alex_lifeson,musicians
36,36,5,ali_baksh_jarnail,musicians
37,37,10,alison,n
38,38,10,almanac,n
39,39,6,amanat_ali_khan,musicians
40,40,8,amazing_grace,albums
41,41,11,ambient_project,n
42,42,7,amelia,n
43,43,9,american_actor,performances
44,44,40,american_composer,musicians
45,45,5,american_federation,n
46,46,7,american_guitarist,musicians
47,47,18,american_music,genres
48,48,17,american_musician,musicians
49,49,5,american_poet,musicians
50,50,16,american_rapper,musicians
51,51,8,american_soul,genres
52,52,180,amon,n
53,53,16,amongst,n
54,54,10,amy_grant,musicians
55,55,5,anarcho-punk_band,musicians
56,56,42,anderson,n
57,57,7,andras,n
58,58,32,andre,n
59,59,14,andre_kostelanetz,musicians
60,60,24,andrea,n
61,61,52,andrew,n
62,62,7,andrew_lloyd_webber,musicians
63,63,20,andrews_sisters,musicians
64,64,51,andy,n
65,65,17,angelica,n
66,66,5,angelique_kidjo,musicians
67,67,23,animals,albums
68,68,12,animation,n
69,69,8,animato,n
70,70,16,ankara,n
71,71,27,ann_arbor,n
72,72,8,anne,n
73,73,5,antidote,n
74,74,6,antoine,n
75,75,9,anton,n
76,76,16,antwerp,musicians
77,77,21,apollo,n
